state,vendor_name,canonical_vendor
Andhra Pradesh,G KRISHNA MOHAN NAIDU,G KRISHNA MOHAN NAIDU
Andhra Pradesh,AKULETI ASWATHA NARAYNA SWAMY,AKULETI ASWATHA NARAYNA SWAMY
Andhra Pradesh,AJJE CHANNAPPA,AJJE CHANNAPPA
Andhra Pradesh,KAPPALA JAGADEESH,KAPPALA JAGADEESH
Andhra Pradesh,K R RAMACHANDRAPPA,K R RAMACHANDRAPPA
Andhra Pradesh,SVYP CONSTRUCTIONS,SVYP CONSTRUCTIONS
Andhra Pradesh,DHARMVARAPU MURALI,DHARMVARAPU MURALI
Andhra Pradesh,UPPARA RAMACHANDRA,UPPARA RAMACHANDRA
Andhra Pradesh,SRI MURALI KRISHNA CONSTRUCTIONS,SRI MURALI KRISHNA CONSTRUCTIONS
Andhra Pradesh,KADIYALA GOPALA KRISHNA,KADIYALA GOPALA KRISHNA
Andhra Pradesh,KATAKAM VEERESWARARAO,KATAKAM VEERESWARA RAO
Andhra Pradesh,KATAKAM VEERESWARA RAO,KATAKAM VEERESWARA RAO
Andhra Pradesh,BANDARU SATYANARAYANA,BANDARU SATYANARAYANA
Andhra Pradesh,MS VENKAT SATWIK CONSTRUCTIONS,MS VENKAT SATWIK CONSTRUCTIONS
Andhra Pradesh,T A V SIVA PRASAD,T A V SIVA PRASAD
Andhra Pradesh,INAKONA SURYAPRAKASHARAO,INAKONA SURYAPRAKASHARAO
Andhra Pradesh,VISWANADHULA NAVEEN KUMAR,VISWANADHULA NAVEEN KUMAR
Andhra Pradesh,EXECUTIVE ENGINEER OPERATION APEPDCL PEDDAPURAM,EXECUTIVE ENGINEER OPERATION APEPDCL PEDDAPURAM
